title,five_yr_bin,year_publication,authors,journal,volume_pages,sampling_start_date,sampling_end_date,study_area_grids,preferential_hemisphere,preferential_habitat,method,sampling_protocol,type_of_count,attraction_bias,continuous_time,n_snapshot,dist_boat,ship_speed,height_above_water,n_sides,n_observers,on_water_only,ship_followers,other_taxa_recorded,database_or_project,study_purpose,stats_technique,obs
Sea-bird observations off Somalia,1971_1975,1971,Bailey,Ibis,113:29-41,08-1964,09-1964,160,north,coastal,log_book,other,not specified,none_assumed,NA,NA,not specified,not specified,not specified,not specified,1,no,not specified,NA,None,distribution,qualitative,
The field identification and distribution of the Thin-billed Prion Pachyptila belcheri and the Antarctic Prion P. desolata,1971_1975,1972,Harper,Notornis,19:140-175,01-1965,05-1967,"94, 95, 96, 70, 71, 72, 47, 48, 24, 1, 73, 74, 75, 76, 77, 78, 79, 53, 54, 55",south,oceanic,log_book,other,continuous,none_assumed,uninterrupted,NA,unlimited,9,not specified,not specified,1,no,not specified,NA,None,natural_history,qualitative,
"Summer distribution of pelagic birds in Bristol Bay, Alaska",1971_1975,1972,Bartonek and Gibson,Condor,74:416-422,07-1969,08-1969,218,north,oceanic,strip_transect,other,not specified,research_fishing,NA,NA,700m,not specified,5.18,4,not specified,no,not specified,NA,None,distribution,qualitative,
"Ornithological observations in the Norwegian Sea, the Greenland Sea, and NE Greenland, July–August 1972",1971_1975,1972,Meltofte,Dansk Orn Foren Tidsskr,66:108-112,07-1972,08-1972,"251, 252, 253",north,oceanic,log_book,other,continuous,none_assumed,NA,NA,not specified,not specified,not specified,not specified,1,no,not specified,NA,None,distribution,qualitative,
"A transect diagram for oceanic birds recorded between McMurdo Sound, Antarctica, and New Zealand, February-March 1973",1971_1975,1973,Fowler,Notornis,20:314-317,02-1973,03-1973,"72, 48, 24",south,oceanic,log_book,other,continuous,none_assumed,60min,NA,not specified,15,not specified,not specified,1,no,not specified,NA,None,distribution,qualitative,
Notes on sea birds between New Zealand and the Bounty Islands,1971_1975,1973,Vooren,Notornis,20:301-310,12-1970,12-1970,"96, 72",south,oceanic,log_book,other,continuous,research_fishing,10-60min,NA,not specified,not specified,not specified,not specified,1,no,pooled,NA,None,distribution,qualitative,I assumed 'research_fishing' for the 'attraction_bias' column given the cruise was onboard a Research Vessel from the Japanese Fishery Agency
Interspecific feeding assemblages of marine birds off British Columbia,1971_1975,1973,Sealy,Auk,4:796-802,05-1971,08-1971,220,north,coastal,log_book,other,not specified,none_assumed,NA,NA,not specified,not specified,not specified,not specified,not specified,no,not specified,NA,None,predator_prey,qualitative,
The near-shore avifauna of the middle American west coast,1971_1975,1974,Jehl,Auk,91:681-699,03-1973,04-1973,"173, 174, 150, 151",north,oceanic,log_book,other,continuous,research_fishing,uninterrupted,NA,not specified,not specified,not specified,not specified,1,no,estimated at hourly intervalss,NA,None,distribution,qualitative,
Local distribution and feeding habits of Bullers shearwater (Puffinus bulleri),1971_1975,1974,Jenkins,Notornis,21:109-120,NA,NA,"96, 72, 95",south,oceanic,log_book,other,not specified,none_assumed,NA,NA,not specified,not specified,not specified,not specified,not specified,no,not specified,NA,None,distribution,qualitative,15 years voyagers in commercial vessels
Some notes on Melanesian sea birds,1971_1975,1975,Greensmith,Sunbird,6:77-89,10-1974,02-1975,"142, 143",south,coastal,log_book,other,not specified,none_assumed,NA,NA,not specified,not specified,not specified,not specified,1,no,not specified,NA,None,distribution,qualitative,
